mtc,id,diagnostic,type2,type1
215.1277857,FA 11:1 +2O,FA 11:1 +2O,fatty_acid,frag
231.1227003,FA 11:1 +3O,FA 11:1 +3O,fatty_acid,frag
181.1223063,FA 11:2,FA 11:2,fatty_acid,frag
197.117221,FA 11:2 +1O,FA 11:2 +1O,fatty_acid,frag
213.1121356,FA 11:2 +2O,FA 11:2 +2O,fatty_acid,frag
229.1070502,FA 11:2 +3O,FA 11:2 +3O,fatty_acid,frag
199.1692566,FA 12:0,FA 12:0,fatty_acid,frag
215.1641712,FA 12:0 +1O,FA 12:0 +1O,fatty_acid,frag
231.1590858,FA 12:0 +2O,FA 12:0 +2O,fatty_acid,frag
247.1540004,FA 12:0 +3O,FA 12:0 +3O,fatty_acid,frag
197.1536065,FA 12:1,FA 12:1,fatty_acid,frag
213.1485211,FA 12:1 +1O,FA 12:1 +1O,fatty_acid,frag
229.1434357,FA 12:1 +2O,FA 12:1 +2O,fatty_acid,frag
245.1383504,FA 12:1 +3O,FA 12:1 +3O,fatty_acid,frag
195.1379564,FA 12:2,FA 12:2,fatty_acid,frag
211.132871,FA 12:2 +1O,FA 12:2 +1O,fatty_acid,frag
227.1277857,FA 12:2 +2O,FA 12:2 +2O,fatty_acid,frag
243.1227003,FA 12:2 +3O,FA 12:2 +3O,fatty_acid,frag
193.1223063,FA 12:3,FA 12:3,fatty_acid,frag
209.117221,FA 12:3 +1O,FA 12:3 +1O,fatty_acid,frag
225.1121356,FA 12:3 +2O,FA 12:3 +2O,fatty_acid,frag
241.1070502,FA 12:3 +3O,FA 12:3 +3O,fatty_acid,frag
213.1849067,FA 13:0,FA 13:0,fatty_acid,frag
229.1798213,FA 13:0 +1O,FA 13:0 +1O,fatty_acid,frag
245.1747359,FA 13:0 +2O,FA 13:0 +2O,fatty_acid,frag
261.1696505,FA 13:0 +3O,FA 13:0 +3O,fatty_acid,frag
211.1692566,FA 13:1,FA 13:1,fatty_acid,frag
227.1641712,FA 13:1 +1O,FA 13:1 +1O,fatty_acid,frag
243.1590858,FA 13:1 +2O,FA 13:1 +2O,fatty_acid,frag
259.1540004,FA 13:1 +3O,FA 13:1 +3O,fatty_acid,frag
209.1536065,FA 13:2,FA 13:2,fatty_acid,frag
225.1485211,FA 13:2 +1O,FA 13:2 +1O,fatty_acid,frag
241.1434357,FA 13:2 +2O,FA 13:2 +2O,fatty_acid,frag
257.1383504,FA 13:2 +3O,FA 13:2 +3O,fatty_acid,frag
207.1379564,FA 13:3,FA 13:3,fatty_acid,frag
223.132871,FA 13:3 +1O,FA 13:3 +1O,fatty_acid,frag
239.1277857,FA 13:3 +2O,FA 13:3 +2O,fatty_acid,frag
255.1227003,FA 13:3 +3O,FA 13:3 +3O,fatty_acid,frag
227.2005567,FA 14:0,FA 14:0,fatty_acid,frag
243.1954714,FA 14:0 +1O,FA 14:0 +1O,fatty_acid,frag
259.190386,FA 14:0 +2O,FA 14:0 +2O,fatty_acid,frag
275.1853006,FA 14:0 +3O,FA 14:0 +3O,fatty_acid,frag
225.1849067,FA 14:1,FA 14:1,fatty_acid,frag
241.1798213,FA 14:1 +1O,FA 14:1 +1O,fatty_acid,frag
257.1747359,FA 14:1 +2O,FA 14:1 +2O,fatty_acid,frag
273.1696505,FA 14:1 +3O,FA 14:1 +3O,fatty_acid,frag
223.1692566,FA 14:2,FA 14:2,fatty_acid,frag
239.1641712,FA 14:2 +1O,FA 14:2 +1O,fatty_acid,frag
255.1590858,FA 14:2 +2O,FA 14:2 +2O,fatty_acid,frag
271.1540004,FA 14:2 +3O,FA 14:2 +3O,fatty_acid,frag
221.1536065,FA 14:3,FA 14:3,fatty_acid,frag
237.1485211,FA 14:3 +1O,FA 14:3 +1O,fatty_acid,frag
253.1434357,FA 14:3 +2O,FA 14:3 +2O,fatty_acid,frag
269.1383504,FA 14:3 +3O,FA 14:3 +3O,fatty_acid,frag
241.2162068,FA 15:0,FA 15:0,fatty_acid,frag
257.2111214,FA 15:0 +1O,FA 15:0 +1O,fatty_acid,frag
273.2060361,FA 15:0 +2O,FA 15:0 +2O,fatty_acid,frag
289.2009507,FA 15:0 +3O,FA 15:0 +3O,fatty_acid,frag
239.2005567,FA 15:1,FA 15:1,fatty_acid,frag
255.1954714,FA 15:1 +1O,FA 15:1 +1O,fatty_acid,frag
271.190386,FA 15:1 +2O,FA 15:1 +2O,fatty_acid,frag
287.1853006,FA 15:1 +3O,FA 15:1 +3O,fatty_acid,frag
237.1849067,FA 15:2,FA 15:2,fatty_acid,frag
253.1798213,FA 15:2 +1O,FA 15:2 +1O,fatty_acid,frag
269.1747359,FA 15:2 +2O,FA 15:2 +2O,fatty_acid,frag
285.1696505,FA 15:2 +3O,FA 15:2 +3O,fatty_acid,frag
235.1692566,FA 15:3,FA 15:3,fatty_acid,frag
251.1641712,FA 15:3 +1O,FA 15:3 +1O,fatty_acid,frag
267.1590858,FA 15:3 +2O,FA 15:3 +2O,fatty_acid,frag
283.1540004,FA 15:3 +3O,FA 15:3 +3O,fatty_acid,frag
255.2318569,FA 16:0,FA 16:0,fatty_acid,frag
271.2267715,FA 16:0 +1O,FA 16:0 +1O,fatty_acid,frag
287.2216861,FA 16:0 +2O,FA 16:0 +2O,fatty_acid,frag
303.2166008,FA 16:0 +3O,FA 16:0 +3O,fatty_acid,frag
253.2162068,FA 16:1,FA 16:1,fatty_acid,frag
269.2111214,FA 16:1 +1O,FA 16:1 +1O,fatty_acid,frag
285.2060361,FA 16:1 +2O,FA 16:1 +2O,fatty_acid,frag
301.2009507,FA 16:1 +3O,FA 16:1 +3O,fatty_acid,frag
251.2005567,FA 16:2,FA 16:2,fatty_acid,frag
267.1954714,FA 16:2 +1O,FA 16:2 +1O,fatty_acid,frag
283.190386,FA 16:2 +2O,FA 16:2 +2O,fatty_acid,frag
299.1853006,FA 16:2 +3O,FA 16:2 +3O,fatty_acid,frag
249.1849067,FA 16:3,FA 16:3,fatty_acid,frag
265.1798213,FA 16:3 +1O,FA 16:3 +1O,fatty_acid,frag
281.1747359,FA 16:3 +2O,FA 16:3 +2O,fatty_acid,frag
297.1696505,FA 16:3 +3O,FA 16:3 +3O,fatty_acid,frag
269.247507,FA 17:0,FA 17:0,fatty_acid,frag
285.2424216,FA 17:0 +1O,FA 17:0 +1O,fatty_acid,frag
301.2373362,FA 17:0 +2O,FA 17:0 +2O,fatty_acid,frag
317.2322508,FA 17:0 +3O,FA 17:0 +3O,fatty_acid,frag
267.2318569,FA 17:1,FA 17:1,fatty_acid,frag
283.2267715,FA 17:1 +1O,FA 17:1 +1O,fatty_acid,frag
299.2216861,FA 17:1 +2O,FA 17:1 +2O,fatty_acid,frag
315.2166008,FA 17:1 +3O,FA 17:1 +3O,fatty_acid,frag
265.2162068,FA 17:2,FA 17:2,fatty_acid,frag
281.2111214,FA 17:2 +1O,FA 17:2 +1O,fatty_acid,frag
297.2060361,FA 17:2 +2O,FA 17:2 +2O,fatty_acid,frag
313.2009507,FA 17:2 +3O,FA 17:2 +3O,fatty_acid,frag
263.2005567,FA 17:3,FA 17:3,fatty_acid,frag
279.1954714,FA 17:3 +1O,FA 17:3 +1O,fatty_acid,frag
295.190386,FA 17:3 +2O,FA 17:3 +2O,fatty_acid,frag
311.1853006,FA 17:3 +3O,FA 17:3 +3O,fatty_acid,frag
261.1849067,FA 17:4,FA 17:4,fatty_acid,frag
277.1798213,FA 17:4 +1O,FA 17:4 +1O,fatty_acid,frag
293.1747359,FA 17:4 +2O,FA 17:4 +2O,fatty_acid,frag
309.1696505,FA 17:4 +3O,FA 17:4 +3O,fatty_acid,frag
283.2631571,FA 18:0,FA 18:0,fatty_acid,frag
299.2580717,FA 18:0 +1O,FA 18:0 +1O,fatty_acid,frag
315.2529863,FA 18:0 +2O,FA 18:0 +2O,fatty_acid,frag
331.2479009,FA 18:0 +3O,FA 18:0 +3O,fatty_acid,frag
281.247507,FA 18:1,FA 18:1,fatty_acid,frag
297.2424216,FA 18:1 +1O,FA 18:1 +1O,fatty_acid,frag
313.2373362,FA 18:1 +2O,FA 18:1 +2O,fatty_acid,frag
329.2322508,FA 18:1 +3O,FA 18:1 +3O,fatty_acid,frag
279.2318569,FA 18:2,FA 18:2,fatty_acid,frag
295.2267715,FA 18:2 +1O,FA 18:2 +1O,fatty_acid,frag
311.2216861,FA 18:2 +2O,FA 18:2 +2O,fatty_acid,frag
327.2166008,FA 18:2 +3O,FA 18:2 +3O,fatty_acid,frag
277.2162068,FA 18:3,FA 18:3,fatty_acid,frag
293.2111214,FA 18:3 +1O,FA 18:3 +1O,fatty_acid,frag
309.2060361,FA 18:3 +2O,FA 18:3 +2O,fatty_acid,frag
325.2009507,FA 18:3 +3O,FA 18:3 +3O,fatty_acid,frag
275.2005567,FA 18:4,FA 18:4,fatty_acid,frag
291.1954714,FA 18:4 +1O,FA 18:4 +1O,fatty_acid,frag
307.190386,FA 18:4 +2O,FA 18:4 +2O,fatty_acid,frag
323.1853006,FA 18:4 +3O,FA 18:4 +3O,fatty_acid,frag
297.2788071,FA 19:0,FA 19:0,fatty_acid,frag
313.2737218,FA 19:0 +1O,FA 19:0 +1O,fatty_acid,frag
329.2686364,FA 19:0 +2O,FA 19:0 +2O,fatty_acid,frag
345.263551,FA 19:0 +3O,FA 19:0 +3O,fatty_acid,frag
295.2631571,FA 19:1,FA 19:1,fatty_acid,frag
311.2580717,FA 19:1 +1O,FA 19:1 +1O,fatty_acid,frag
