mass,id,diagnostic,type2,type1
182.1301363,FA 11:2,FA 11:2,fatty_acid,nl
198.125051,FA 11:2 +1O,FA 11:2 +1O,fatty_acid,nl
214.1199656,FA 11:2 +2O,FA 11:2 +2O,fatty_acid,nl
230.1148802,FA 11:2 +3O,FA 11:2 +3O,fatty_acid,nl
200.1770866,FA 12:0,FA 12:0,fatty_acid,nl
216.1720012,FA 12:0 +1O,FA 12:0 +1O,fatty_acid,nl
232.1669158,FA 12:0 +2O,FA 12:0 +2O,fatty_acid,nl
248.1618304,FA 12:0 +3O,FA 12:0 +3O,fatty_acid,nl
198.1614365,FA 12:1,FA 12:1,fatty_acid,nl
214.1563511,FA 12:1 +1O,FA 12:1 +1O,fatty_acid,nl
230.1512657,FA 12:1 +2O,FA 12:1 +2O,fatty_acid,nl
246.1461804,FA 12:1 +3O,FA 12:1 +3O,fatty_acid,nl
196.1457864,FA 12:2,FA 12:2,fatty_acid,nl
212.140701,FA 12:2 +1O,FA 12:2 +1O,fatty_acid,nl
228.1356157,FA 12:2 +2O,FA 12:2 +2O,fatty_acid,nl
244.1305303,FA 12:2 +3O,FA 12:2 +3O,fatty_acid,nl
194.1301363,FA 12:3,FA 12:3,fatty_acid,nl
210.125051,FA 12:3 +1O,FA 12:3 +1O,fatty_acid,nl
226.1199656,FA 12:3 +2O,FA 12:3 +2O,fatty_acid,nl
242.1148802,FA 12:3 +3O,FA 12:3 +3O,fatty_acid,nl
214.1927367,FA 13:0,FA 13:0,fatty_acid,nl
230.1876513,FA 13:0 +1O,FA 13:0 +1O,fatty_acid,nl
246.1825659,FA 13:0 +2O,FA 13:0 +2O,fatty_acid,nl
262.1774805,FA 13:0 +3O,FA 13:0 +3O,fatty_acid,nl
212.1770866,FA 13:1,FA 13:1,fatty_acid,nl
228.1720012,FA 13:1 +1O,FA 13:1 +1O,fatty_acid,nl
244.1669158,FA 13:1 +2O,FA 13:1 +2O,fatty_acid,nl
260.1618304,FA 13:1 +3O,FA 13:1 +3O,fatty_acid,nl
210.1614365,FA 13:2,FA 13:2,fatty_acid,nl
226.1563511,FA 13:2 +1O,FA 13:2 +1O,fatty_acid,nl
242.1512657,FA 13:2 +2O,FA 13:2 +2O,fatty_acid,nl
258.1461804,FA 13:2 +3O,FA 13:2 +3O,fatty_acid,nl
208.1457864,FA 13:3,FA 13:3,fatty_acid,nl
224.140701,FA 13:3 +1O,FA 13:3 +1O,fatty_acid,nl
240.1356157,FA 13:3 +2O,FA 13:3 +2O,fatty_acid,nl
256.1305303,FA 13:3 +3O,FA 13:3 +3O,fatty_acid,nl
228.2083867,FA 14:0,FA 14:0,fatty_acid,nl
244.2033014,FA 14:0 +1O,FA 14:0 +1O,fatty_acid,nl
260.198216,FA 14:0 +2O,FA 14:0 +2O,fatty_acid,nl
276.1931306,FA 14:0 +3O,FA 14:0 +3O,fatty_acid,nl
226.1927367,FA 14:1,FA 14:1,fatty_acid,nl
242.1876513,FA 14:1 +1O,FA 14:1 +1O,fatty_acid,nl
258.1825659,FA 14:1 +2O,FA 14:1 +2O,fatty_acid,nl
274.1774805,FA 14:1 +3O,FA 14:1 +3O,fatty_acid,nl
224.1770866,FA 14:2,FA 14:2,fatty_acid,nl
240.1720012,FA 14:2 +1O,FA 14:2 +1O,fatty_acid,nl
256.1669158,FA 14:2 +2O,FA 14:2 +2O,fatty_acid,nl
272.1618304,FA 14:2 +3O,FA 14:2 +3O,fatty_acid,nl
222.1614365,FA 14:3,FA 14:3,fatty_acid,nl
238.1563511,FA 14:3 +1O,FA 14:3 +1O,fatty_acid,nl
254.1512657,FA 14:3 +2O,FA 14:3 +2O,fatty_acid,nl
270.1461804,FA 14:3 +3O,FA 14:3 +3O,fatty_acid,nl
242.2240368,FA 15:0,FA 15:0,fatty_acid,nl
258.2189514,FA 15:0 +1O,FA 15:0 +1O,fatty_acid,nl
274.2138661,FA 15:0 +2O,FA 15:0 +2O,fatty_acid,nl
290.2087807,FA 15:0 +3O,FA 15:0 +3O,fatty_acid,nl
240.2083867,FA 15:1,FA 15:1,fatty_acid,nl
256.2033014,FA 15:1 +1O,FA 15:1 +1O,fatty_acid,nl
272.198216,FA 15:1 +2O,FA 15:1 +2O,fatty_acid,nl
288.1931306,FA 15:1 +3O,FA 15:1 +3O,fatty_acid,nl
238.1927367,FA 15:2,FA 15:2,fatty_acid,nl
254.1876513,FA 15:2 +1O,FA 15:2 +1O,fatty_acid,nl
270.1825659,FA 15:2 +2O,FA 15:2 +2O,fatty_acid,nl
286.1774805,FA 15:2 +3O,FA 15:2 +3O,fatty_acid,nl
236.1770866,FA 15:3,FA 15:3,fatty_acid,nl
252.1720012,FA 15:3 +1O,FA 15:3 +1O,fatty_acid,nl
268.1669158,FA 15:3 +2O,FA 15:3 +2O,fatty_acid,nl
284.1618304,FA 15:3 +3O,FA 15:3 +3O,fatty_acid,nl
256.2396869,FA 16:0,FA 16:0,fatty_acid,nl
272.2346015,FA 16:0 +1O,FA 16:0 +1O,fatty_acid,nl
288.2295161,FA 16:0 +2O,FA 16:0 +2O,fatty_acid,nl
304.2244308,FA 16:0 +3O,FA 16:0 +3O,fatty_acid,nl
254.2240368,FA 16:1,FA 16:1,fatty_acid,nl
