core_abbrv,core_class,core_mz,core_formula,DBE,chainC
OH-diMe-GDGT-1,isoGDGT,1343.32573,C88H174N0O7P0S0,1,82
OH-diMe-GDGT-10dbe,isoGDGT,1325.18315,C88H156N0O7P0S0,10,82
OH-diMe-GDGT-11dbe,isoGDGT,1323.1675,C88H154N0O7P0S0,11,82
OH-diMe-GDGT-12dbe,isoGDGT,1321.1529,C88H152N0O7P0S0,12,82
OH-diMe-GDGT-2,isoGDGT,1341.30985,C88H172N0O7P0S0,2,82
OH-diMe-GDGT-3,isoGDGT,1339.2927,C88H170N0O7P0S0,3,82
OH-diMe-GDGT-4,isoGDGT,1337.27705,C88H168N0O7P0S0,4,82
OH-diMe-GDGT-5dbe,isoGDGT,1335.2614,C88H166N0O7P0S0,5,82
OH-diMe-GDGT-6dbe,isoGDGT,1333.24575,C88H164N0O7P0S0,6,82
OH-diMe-GDGT-7dbe,isoGDGT,1331.2301,C88H162N0O7P0S0,7,82
OH-diMe-GDGT-8dbe,isoGDGT,1329.21445,C88H160N0O7P0S0,8,82
OH-diMe-GDGT-9dbe,isoGDGT,1327.1988,C88H158N0O7P0S0,9,82
OH-GDGT-0,isoGDGT,1317.31031,C86H172N0O7P0S0,0,80
OH-GDGT-1,isoGDGT,1315.29443,C86H170N0O7P0S0,1,80
OH-GDGT-10dbe,isoGDGT,1297.151849,C86H152N0O7P0S0,10,80
OH-GDGT-11dbe,isoGDGT,1295.136199,C86H150N0O7P0S0,11,80
OH-GDGT-12dbe,isoGDGT,1293.121599,C86H148N0O7P0S0,12,80
OH-GDGT-2,isoGDGT,1313.27855,C86H168N0O7P0S0,2,80
OH-GDGT-3,isoGDGT,1311.2614,C86H166N0O7P0S0,3,80
OH-GDGT-4,isoGDGT,1309.2468,C86H164N0O7P0S0,4,80
OH-GDGT-5dbe,isoGDGT,1307.2322,C86H162N0O7P0S0,5,80
OH-GDGT-6dbe,isoGDGT,1305.21445,C86H160N0O7P0S0,6,80
OH-GDGT-7dbe,isoGDGT,1303.1988,C86H158N0O7P0S0,7,80
OH-GDGT-8dbe,isoGDGT,1301.18315,C86H156N0O7P0S0,8,80
OH-GDGT-9dbe,isoGDGT,1299.1675,C86H154N0O7P0S0,9,80
OH-Me-GDGT-0,isoGDGT,1331.32596,C87H174N0O7P0S0,0,81
OH-Me-GDGT-1,isoGDGT,1329.31008,C87H172N0O7P0S0,1,81
OH-Me-GDGT-10dbe,isoGDGT,1311.1675,C87H154N0O7P0S0,10,81
OH-Me-GDGT-11dbe,isoGDGT,1309.151849,C87H152N0O7P0S0,11,81
OH-Me-GDGT-12dbe,isoGDGT,1307.137249,C87H150N0O7P0S0,12,81
OH-Me-GDGT-2,isoGDGT,1327.2942,C87H170N0O7P0S0,2,81
OH-Me-GDGT-3,isoGDGT,1325.27705,C87H168N0O7P0S0,3,81
OH-Me-GDGT-4,isoGDGT,1323.26245,C87H166N0O7P0S0,4,81
OH-Me-GDGT-5dbe,isoGDGT,1321.24575,C87H164N0O7P0S0,5,81
OH-Me-GDGT-6dbe,isoGDGT,1319.2301,C87H162N0O7P0S0,6,81
OH-Me-GDGT-8dbe,isoGDGT,1315.1988,C87H158N0O7P0S0,8,81
OH-Me-GDGT-9dbe,isoGDGT,1313.18315,C87H156N0O7P0S0,9,81
C18-[3]-ladderane,ladderane,246.233108,C18H30N0O0P0S0,6,41
C18-[5]-ladderane,ladderane,244.217458,C18H28N0O0P0S0,8,41
C20-[3]-ladderane,ladderane,274.264408,C20H34N0O0P0S0,6,43
C20-[5]-ladderane,ladderane,272.248758,C20H32N0O0P0S0,8,43
C22-[3]-ladderane,ladderane,302.295708,C22H38N0O0P0S0,6,45
C22-[5]-ladderane,ladderane,300.280058,C22H36N0O0P0S0,8,45
hexadecane,ladderane,226.264408,C16H34N0O0P0S0,3,39
methylhexadecane,ladderane,240.280058,C17H36N0O0P0S0,3,40
monoalkylether,ladderane,2.015106,C0H2N0O0P0S0,3,23
pentadecane,ladderane,198.233108,C14H30N0O0P0S0,3,37
